step 40024/60000 (66.71%) | K: 2 | loss: 6.732208 | L1: 2.581881 | L2: 4.471322 | lrm: 0.54 | dt: 1967.24ms | tok/sec: 266,509 | bf16_mfu: 62.47 | epoch: 3 pq: 101 rg: 8 | total time: 677.13m | eta: 338.0m
step 40025/60000 (66.71%) | K: 2 | loss: 6.686980 | L1: 2.581726 | L2: 4.388819 | lrm: 0.54 | dt: 1966.93ms | tok/sec: 266,551 | bf16_mfu: 62.48 | epoch: 3 pq: 101 rg: 8 | total time: 677.16m | eta: 338.0m
step 40026/60000 (66.71%) | K: 2 | loss: 6.634066 | L1: 2.578387 | L2: 4.306075 | lrm: 0.54 | dt: 1967.76ms | tok/sec: 266,439 | bf16_mfu: 62.46 | epoch: 3 pq: 101 rg: 16 | total time: 677.19m | eta: 338.0m
step 40027/60000 (66.71%) | K: 2 | loss: 6.589346 | L1: 2.579204 | L2: 4.231602 | lrm: 0.54 | dt: 1967.52ms | tok/sec: 266,471 | bf16_mfu: 62.47 | epoch: 3 pq: 101 rg: 16 | total time: 677.22m | eta: 338.0m
step 40028/60000 (66.71%) | K: 2 | loss: 6.557154 | L1: 2.586027 | L2: 4.167418 | lrm: 0.54 | dt: 1968.51ms | tok/sec: 266,337 | bf16_mfu: 62.43 | epoch: 3 pq: 101 rg: 16 | total time: 677.26m | eta: 338.0m
step 40029/60000 (66.72%) | K: 2 | loss: 6.526984 | L1: 2.592217 | L2: 4.108950 | lrm: 0.54 | dt: 1969.47ms | tok/sec: 266,207 | bf16_mfu: 62.40 | epoch: 3 pq: 101 rg: 16 | total time: 677.29m | eta: 338.0m
step 40030/60000 (66.72%) | K: 2 | loss: 6.491683 | L1: 2.596246 | L2: 4.049950 | lrm: 0.54 | dt: 1969.24ms | tok/sec: 266,238 | bf16_mfu: 62.41 | epoch: 3 pq: 101 rg: 16 | total time: 677.32m | eta: 338.0m
step 40031/60000 (66.72%) | K: 2 | loss: 6.454939 | L1: 2.595609 | L2: 3.996560 | lrm: 0.54 | dt: 1970.72ms | tok/sec: 266,038 | bf16_mfu: 62.36 | epoch: 3 pq: 101 rg: 16 | total time: 677.36m | eta: 338.0m
step 40032/60000 (66.72%) | K: 2 | loss: 6.406333 | L1: 2.590052 | L2: 3.937976 | lrm: 0.54 | dt: 1969.57ms | tok/sec: 266,194 | bf16_mfu: 62.40 | epoch: 3 pq: 101 rg: 16 | total time: 677.39m | eta: 338.0m
step 40033/60000 (66.72%) | K: 2 | loss: 6.379324 | L1: 2.592785 | L2: 3.894865 | lrm: 0.54 | dt: 1969.71ms | tok/sec: 266,175 | bf16_mfu: 62.40 | epoch: 3 pq: 101 rg: 16 | total time: 677.42m | eta: 338.0m
step 40034/60000 (66.72%) | K: 2 | loss: 6.376058 | L1: 2.609157 | L2: 3.863614 | lrm: 0.54 | dt: 1970.68ms | tok/sec: 266,044 | bf16_mfu: 62.37 | epoch: 3 pq: 101 rg: 24 | total time: 677.45m | eta: 337.9m
step 40035/60000 (66.72%) | K: 2 | loss: 6.336542 | L1: 2.606538 | L2: 3.815972 | lrm: 0.54 | dt: 1970.32ms | tok/sec: 266,092 | bf16_mfu: 62.38 | epoch: 3 pq: 101 rg: 24 | total time: 677.49m | eta: 337.9m
step 40036/60000 (66.73%) | K: 2 | loss: 6.284178 | L1: 2.597488 | L2: 3.762986 | lrm: 0.54 | dt: 1970.48ms | tok/sec: 266,071 | bf16_mfu: 62.37 | epoch: 3 pq: 101 rg: 24 | total time: 677.52m | eta: 337.9m
step 40037/60000 (66.73%) | K: 2 | loss: 6.237187 | L1: 2.590609 | L2: 3.714358 | lrm: 0.54 | dt: 1970.57ms | tok/sec: 266,059 | bf16_mfu: 62.37 | epoch: 3 pq: 101 rg: 24 | total time: 677.55m | eta: 337.9m
step 40038/60000 (66.73%) | K: 2 | loss: 6.202359 | L1: 2.587806 | L2: 3.674906 | lrm: 0.54 | dt: 1971.58ms | tok/sec: 265,922 | bf16_mfu: 62.34 | epoch: 3 pq: 101 rg: 24 | total time: 677.59m | eta: 337.9m
step 40039/60000 (66.73%) | K: 2 | loss: 6.153186 | L1: 2.580425 | L2: 3.626362 | lrm: 0.54 | dt: 1971.38ms | tok/sec: 265,949 | bf16_mfu: 62.34 | epoch: 3 pq: 101 rg: 24 | total time: 677.62m | eta: 337.9m
step 40040/60000 (66.73%) | K: 2 | loss: 6.119959 | L1: 2.578679 | L2: 3.589024 | lrm: 0.54 | dt: 1971.64ms | tok/sec: 265,914 | bf16_mfu: 62.34 | epoch: 3 pq: 101 rg: 24 | total time: 677.65m | eta: 337.9m
step 40041/60000 (66.73%) | K: 2 | loss: 6.082117 | L1: 2.574095 | L2: 3.550531 | lrm: 0.54 | dt: 1972.89ms | tok/sec: 265,746 | bf16_mfu: 62.30 | epoch: 3 pq: 101 rg: 24 | total time: 677.68m | eta: 337.9m
step 40042/60000 (66.74%) | K: 2 | loss: 6.045296 | L1: 2.568321 | L2: 3.514848 | lrm: 0.54 | dt: 1972.93ms | tok/sec: 265,741 | bf16_mfu: 62.29 | epoch: 3 pq: 101 rg: 32 | total time: 677.72m | eta: 337.9m
step 40043/60000 (66.74%) | K: 2 | loss: 6.003834 | L1: 2.561681 | L2: 3.475861 | lrm: 0.54 | dt: 1973.79ms | tok/sec: 265,625 | bf16_mfu: 62.27 | epoch: 3 pq: 101 rg: 32 | total time: 677.75m | eta: 337.9m
